,product_name,size,milk,whip,serv_size_m_l,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,caffeine_mg
0,brewed coffee - dark roast,short,0,0,236,3,0.1,0.0,0.0,0,5,0,0,0,130
1,brewed coffee - dark roast,tall,0,0,354,4,0.1,0.0,0.0,0,10,0,0,0,193
2,brewed coffee - dark roast,grande,0,0,473,5,0.1,0.0,0.0,0,10,0,0,0,260
3,brewed coffee - dark roast,venti,0,0,591,5,0.1,0.0,0.0,0,10,0,0,0,340
8,brewed coffee - medium roast,short,0,0,236,3,0.1,0.0,0.0,0,5,0,0,0,155
9,brewed coffee - medium roast,tall,0,0,354,4,0.1,0.0,0.0,0,5,0,0,0,235
10,brewed coffee - medium roast,grande,0,0,473,5,0.1,0.0,0.0,0,5,0,0,0,310
11,brewed coffee - medium roast,venti,0,0,591,5,0.1,0.0,0.0,0,5,0,0,0,410
12,brewed coffee - True North Blend Blonde roast,short,0,0,236,3,0.1,0.0,0.0,0,5,0,0,0,180
13,brewed coffee - True North Blend Blonde roast,tall,0,0,354,4,0.1,0.0,0.0,0,5,0,0,0,270
14,brewed coffee - True North Blend Blonde roast,grande,0,0,473,5,0.1,0.0,0.0,0,5,0,0,0,360
15,brewed coffee - True North Blend Blonde roast,venti,0,0,591,5,0.1,0.0,0.0,0,5,0,0,0,475
21,Caffè Misto,tall,1,0,354,60,0.2,0.1,0.0,5,70,8,0,8,115
22,Caffè Misto,tall,2,0,354,80,3.0,1.5,0.1,15,80,8,0,8,115
23,Caffè Misto,tall,5,0,354,100,5.0,3.0,0.2,15,70,8,0,8,115
24,Caffè Misto,tall,3,0,354,60,2.5,0.3,0.0,0,60,5,1,4,115
25,Caffè Misto,tall,4,0,354,60,3.5,3.5,0.0,0,70,6,0,5,115
26,Caffè Misto,grande,1,0,473,70,0.2,0.1,0.0,5,90,10,0,10,150
27,Caffè Misto,grande,2,0,473,110,4.0,2.0,0.1,15,100,10,0,10,150
28,Caffè Misto,grande,5,0,473,130,7.0,4.0,0.2,20,95,10,0,10,150
29,Caffè Misto,grande,3,0,473,80,3.0,0.4,0.0,0,80,6,1,5,150
30,Caffè Misto,grande,4,0,473,70,4.5,4.5,0.0,0,90,7,0,7,150
31,Caffè Misto,venti,1,0,591,90,0.3,0.2,0.0,5,115,13,0,13,195
32,Caffè Misto,venti,2,0,591,130,5.0,2.5,0.2,20,130,13,0,13,195
33,Caffè Misto,venti,5,0,591,160,9.0,5.0,0.3,25,120,13,0,13,195
34,Caffè Misto,venti,3,0,591,100,4.0,0.5,0.0,0,100,8,1,6,195
35,Caffè Misto,venti,4,0,591,80,5.0,4.5,0.0,0,90,7,0,7,195
36,Clover Brewed Coffee - Dark Roast,short,0,0,236,10,0.0,0.0,0.0,0,5,0,0,0,190
37,Clover Brewed Coffee - Dark Roast,tall,0,0,354,10,0.0,0.0,0.0,0,10,0,0,0,280
38,Clover Brewed Coffee - Dark Roast,grande,0,0,473,10,0.0,0.0,0.0,0,10,0,0,0,380
39,Clover Brewed Coffee - Dark Roast,venti,0,0,591,10,0.0,0.0,0.0,0,10,0,0,0,470
40,Clover Brewed Coffee -  Light Roast,short,0,0,236,10,0.0,0.0,0.0,0,5,0,0,0,155
41,Clover Brewed Coffee -  Light Roast,tall,0,0,354,10,0.0,0.0,0.0,0,10,0,0,0,255
42,Clover Brewed Coffee -  Light Roast,grande,0,0,473,10,0.0,0.0,0.0,0,10,0,0,0,340
